State Abbreviation,ccode,Lead Id,Leader,Day of Start of Term of Office,Month of Start of Term of Office,Year of Start of Term of Office,Date of Term Of Office,Month of End of Term of Office,Year of End of Term of Office,Date of End of Term of Office,Year of birth,Gender,Military Career,Month of Election or Re-election Result,Year of Election or Re-election Result,Date of Election or Re-election Result
HAI,41,A2.9-307,"Duvalier, Jean-",22,4,1971,1971-04-22,2,1986,1986-02-01,1951,Male,False,1,1971,1971-01-01
HAI,41,A2.9-310,Namphy,7,2,1986,1986-02-07,2,1988,1988-02-01,1932,Male,True,3,1987,1987-03-01
HAI,41,A2.9-313,Manigat,7,2,1988,1988-02-07,6,1988,1988-06-01,1930,Male,False,1,1988,1988-01-01
HAI,41,A2.9-316,Namphy,20,6,1988,1988-06-20,9,1988,1988-09-01,1932,Male,True,0,0,
HAI,41,A2.9-319,Avril,17,9,1988,1988-09-17,3,1990,1990-03-01,1938,Male,True,0,0,
HAI,41,A2.9-325,Pascal-Troillet,13,3,1990,1990-03-13,2,1991,1991-02-01,1943,Female,False,0,0,
HAI,41,A2.9-328,Aristide,7,2,1991,1991-02-07,9,1991,1991-09-01,1953,Male,False,12,1990,1990-12-01
HAI,41,A2.9-331,Cedras,30,9,1991,1991-09-30,10,1994,1994-10-01,1949,Male,True,0,0,
HAI,41,A2.9-334,Aristide,15,10,1994,1994-10-15,2,1996,1996-02-01,1953,Male,False,0,0,
HAI,41,A2.9-337,Preval,7,2,1996,1996-02-07,2,2001,2001-02-01,1943,Male,False,12,1995,1995-12-01
HAI,41,A2.9-340,Aristide,8,2,2001,2001-02-08,2,2004,2004-02-01,1953,Male,False,11,2000,2000-11-01
HAI,41,A2.9-343,Boniface Alexandre,29,2,2004,2004-02-29,5,2006,2006-05-01,1936,Male,False,0,0,
HAI,41,A3.0-6,Preval,14,5,2006,2006-05-14,5,2011,2011-05-01,1943,Male,False,2,2006,2006-02-01
HAI,41,cb-41-1,Martelly,14,5,2011,2011-05-14,2,2016,2016-02-01,1961,Male,False,3,2011,2011-03-01
HAI,41,cb-41-2,Evans Paul (acting),8,2,2016,2016-02-08,2,2016,2016-02-01,1955,Male,False,0,0,
HAI,41,cb-41-3,Jocelerme Privert,15,2,2016,2016-02-15,2,2017,2017-02-01,1953,Male,False,0,0,
HAI,41,se-41-4,Jovenel Moise,7,2,2017,2017-02-07,7,2021,2021-07-01,1968,Male,False,11,2016,2016-11-01
HAI,41,mf-41-1,Claude Joseph,7,7,2021,2021-07-07,7,2021,2021-07-01,0,Male,False,0,0,
HAI,41,mf-41-2,Ariel Henry,20,7,2021,2021-07-20,0,0,,1949,Male,False,0,0,
DOM,42,A2.9-433,Rafael Trujillo,16,8,1930,1930-08-16,5,1961,1961-05-01,1891,Male,True,5,1930,1930-05-01
DOM,42,cb-42--001,Rafael Trujillo (son),30,5,1961,1961-05-30,11,1961,1961-11-01,1929,Male,True,0,0,
DOM,42,A2.9-436,Balaguer,19,11,1961,1961-11-19,1,1962,1962-01-01,1907,Male,False,0,0,
DOM,42,A2.9-442,Filiberto Bonnelly,19,1,1962,1962-01-19,2,1963,1963-02-01,1904,Male,False,0,0,
DOM,42,A2.9-445,Bosch,27,2,1963,1963-02-27,9,1963,1963-09-01,1909,Male,False,12,1962,1962-12-01
DOM,42,A2.9-448,de los Santos,26,9,1963,1963-09-26,12,1963,1963-12-01,1903,Male,False,0,0,
DOM,42,A2.9-451,Cabral,22,12,1963,1963-12-22,4,1965,1965-04-01,1923,Male,False,0,0,
DOM,42,A2.9-457,Bartolome Benoit,27,4,1965,1965-04-27,5,1965,1965-05-01,1921,Male,True,0,0,
DOM,42,A2.9-460,Berreras Imbert,7,5,1965,1965-05-07,8,1965,1965-08-01,1920,Male,True,0,0,
DOM,42,A2.9-463,Godoy,3,9,1965,1965-09-03,7,1966,1966-07-01,1921,Male,False,0,0,
DOM,42,A2.9-466,Balaguer,1,7,1966,1966-07-01,7,1978,1978-07-01,1907,Male,False,6,1966,1966-06-01
DOM,42,A2.9-469,Guzman Fernandez,1,7,1978,1978-07-01,7,1982,1982-07-01,1911,Male,False,5,1978,1978-05-01
DOM,42,A2.9-472,Majluta Azar,4,7,1982,1982-07-04,8,1982,1982-08-01,1934,Male,False,0,0,
DOM,42,A2.9-475,Blanco,16,8,1982,1982-08-16,8,1986,1986-08-01,1926,Male,False,5,1982,1982-05-01
DOM,42,A2.9-478,Balaguer,16,8,1986,1986-08-16,8,1996,1996-08-01,1907,Male,False,5,1986,1986-05-01
DOM,42,A2.9-481,Fernandez Reyna,16,8,1996,1996-08-16,8,2000,2000-08-01,1953,Male,False,6,1996,1996-06-01
DOM,42,A2.9-484,Hipolito Mejia,17,8,2000,2000-08-17,8,2004,2004-08-01,1941,Male,False,5,2000,2000-05-01
DOM,42,A2.9-487,Fernandez Reyna,16,8,2004,2004-08-16,8,2012,2012-08-01,1953,Male,False,5,2004,2004-05-01
DOM,42,cb-42-1,Danilo Medina,16,8,2012,2012-08-16,8,2020,2020-08-01,1951,Male,False,5,2012,2012-05-01
DOM,42,ctb-42-1,Luis Abinader,16,8,2020,2020-08-16,0,0,,1967,Male,False,7,2020,2020-07-01
JAM,51,A2.9-490,Bustamante,6,8,1962,1962-08-06,2,1964,1964-02-01,1884,Male,False,4,1962,1962-04-01
JAM,51,A2.9-493,Sangster,15,2,1964,1964-02-15,4,1967,1967-04-01,1911,Male,False,0,0,
JAM,51,A2.9-496,Shearer,11,4,1967,1967-04-11,3,1972,1972-03-01,1923,Male,False,2,1967,1967-02-01
JAM,51,A2.9-499,Manley,2,3,1972,1972-03-02,11,1980,1980-11-01,1924,Male,False,2,1972,1972-02-01
JAM,51,A2.9-502,Seaga,1,11,1980,1980-11-01,2,1989,1989-02-01,1930,Male,False,10,1980,1980-10-01
JAM,51,A2.9-505,Manley,10,2,1989,1989-02-10,3,1992,1992-03-01,1924,Male,False,2,1989,1989-02-01
