State Abbreviation,ccode,Lead Id,Leader,Day of Start of Term of Office,Month of Start of Term of Office,Year of Start of Term of Office,Date of Term Of Office,Month of End of Term of Office,Year of End of Term of Office,Date of End of Term of Office,Year of birth,Gender,Military Career,Month of Election or Re-election Result,Year of Election or Re-election Result,Date of Election or Re-election Result
UKG,200,A2.9-2872,Wilson,16,10,1964,1964-10-16,6,1970,1970-06-01,1916,Male,False,10,1964,1964-10-01
UKG,200,A2.9-2875,Heath,19,6,1970,1970-06-19,3,1974,1974-03-01,1916,Male,False,6,1970,1970-06-01
UKG,200,A2.9-2878,Wilson,4,3,1974,1974-03-04,4,1976,1976-04-01,1916,Male,False,2,1974,1974-02-01
UKG,200,A2.9-2881,Callaghan,5,4,1976,1976-04-05,5,1979,1979-05-01,1912,Male,False,0,0,
UKG,200,A2.9-2884,Thatcher,4,5,1979,1979-05-04,11,1990,1990-11-01,1925,Female,False,5,1979,1979-05-01
UKG,200,A2.9-2887,Major,28,11,1990,1990-11-28,5,1997,1997-05-01,1943,Male,False,4,1992,1992-04-01
UKG,200,A2.9-2890,Blair,2,5,1997,1997-05-02,6,2007,2007-06-01,1953,Male,False,5,1997,1997-05-01
UKG,200,A3.0-40,Brown,27,6,2007,2007-06-27,5,2010,2010-05-01,1951,Male,False,0,0,
UKG,200,A3.0-41,Cameron,11,5,2010,2010-05-11,7,2016,2016-07-01,1966,Male,False,5,2010,2010-05-01
UKG,200,cb-200-01,May,13,7,2016,2016-07-13,7,2019,2019-07-01,1956,Female,False,6,2017,2017-06-01
UKG,200,ctb-200-1,Johnson,24,7,2019,2019-07-24,0,0,,1964,Male,False,7,2019,2019-07-01
IRE,205,A2.9-2908,Costello,18,2,1948,1948-02-18,6,1951,1951-06-01,1891,Male,False,2,1948,1948-02-01
IRE,205,A2.9-2911,de Valera,13,6,1951,1951-06-13,6,1954,1954-06-01,1882,Male,False,5,1951,1951-05-01
IRE,205,A2.9-2914,Costello,2,6,1954,1954-06-02,3,1957,1957-03-01,1891,Male,False,5,1954,1954-05-01
IRE,205,A2.9-2917,de Valera,20,3,1957,1957-03-20,6,1959,1959-06-01,1882,Male,False,3,1957,1957-03-01
IRE,205,A2.9-2920,LeMass,23,6,1959,1959-06-23,11,1966,1966-11-01,1899,Male,False,10,1961,1961-10-01
IRE,205,A2.9-2923,Lynch,10,11,1966,1966-11-10,3,1973,1973-03-01,1917,Male,False,6,1969,1969-06-01
IRE,205,A2.9-2926,"Cosgrave, L.",14,3,1973,1973-03-14,7,1977,1977-07-01,1920,Male,False,2,1973,1973-02-01
IRE,205,A2.9-2929,Lynch,5,7,1977,1977-07-05,12,1979,1979-12-01,1917,Male,False,6,1977,1977-06-01
IRE,205,A2.9-2932,Haughey,11,12,1979,1979-12-11,6,1981,1981-06-01,1925,Male,False,0,0,
IRE,205,A2.9-2935,Fitzgerald,30,6,1981,1981-06-30,3,1982,1982-03-01,1926,Male,False,6,1981,1981-06-01
IRE,205,A2.9-2938,Haughey,9,3,1982,1982-03-09,12,1982,1982-12-01,1925,Male,False,2,1982,1982-02-01
IRE,205,A2.9-2941,Fitzgerald,14,12,1982,1982-12-14,3,1987,1987-03-01,1926,Male,False,11,1982,1982-11-01
IRE,205,A2.9-2944,Haughey,10,3,1987,1987-03-10,2,1992,1992-02-01,1925,Male,False,2,1987,1987-02-01
IRE,205,A2.9-2947,Reynolds,11,2,1992,1992-02-11,12,1994,1994-12-01,1935,Male,False,11,1992,1992-11-01
IRE,205,A2.9-2950,Bruton,15,12,1994,1994-12-15,6,1997,1997-06-01,1947,Male,False,0,0,
IRE,205,A2.9-2953,Ahern,26,6,1997,1997-06-26,5,2008,2008-05-01,1951,Male,False,6,1997,1997-06-01
IRE,205,A3.0-42,B. Cowen,7,5,2008,2008-05-07,3,2011,2011-03-01,1960,Male,False,0,0,
IRE,205,A3.0-43,E. Kenny,9,3,2011,2011-03-09,6,2017,2017-06-01,1951,Male,False,2,2011,2011-02-01
IRE,205,se-205-1,Varadkar,14,6,2017,2017-06-14,6,2020,2020-06-01,1979,Male,False,0,0,
IRE,205,ctb-205-1,Martin,27,6,2020,2020-06-27,0,0,,1960,Male,False,2,2020,2020-02-01
NTH,210,A2.9-3016,Drees,7,8,1948,1948-08-07,12,1958,1958-12-01,1886,Male,False,7,1948,1948-07-01
NTH,210,A2.9-3019,Beel,22,12,1958,1958-12-22,5,1959,1959-05-01,1902,Male,False,0,0,
NTH,210,A2.9-3022,de Quay,19,5,1959,1959-05-19,5,1963,1963-05-01,1901,Male,False,3,1959,1959-03-01
NTH,210,A2.9-3025,Marijnen,24,7,1963,1963-07-24,2,1965,1965-02-01,1917,Male,False,5,1963,1963-05-01
NTH,210,A2.9-3028,Cals,27,4,1965,1965-04-27,10,1966,1966-10-01,1914,Male,False,0,0,
NTH,210,A2.9-3031,Zijlstra,22,11,1966,1966-11-22,2,1967,1967-02-01,1918,Male,False,0,0,
NTH,210,A2.9-3034,De Jong,3,4,1967,1967-04-03,4,1971,1971-04-01,1915,Male,True,2,1967,1967-02-01
NTH,210,A2.9-3037,Biesheuvel,6,7,1971,1971-07-06,5,1973,1973-05-01,1920,Male,False,4,1971,1971-04-01
NTH,210,A2.9-3040,den Uyl,11,5,1973,1973-05-11,12,1977,1977-12-01,1919,Male,False,11,1972,1972-11-01
NTH,210,A2.9-3043,van Agt,19,12,1977,1977-12-19,11,1982,1982-11-01,1931,Male,False,5,1977,1977-05-01
NTH,210,A2.9-3046,Lubbers,4,11,1982,1982-11-04,8,1994,1994-08-01,1939,Male,False,9,1982,1982-09-01
NTH,210,A2.9-3049,Kok,22,8,1994,1994-08-22,7,2002,2002-07-01,1938,Male,False,5,1994,1994-05-01
NTH,210,A2.9-3052,Jan Peter Balkenende,22,7,2002,2002-07-22,10,2010,2010-10-01,1956,Male,False,5,2002,2002-05-01
NTH,210,A3.0-44,M. Rutte,14,10,2010,2010-10-14,0,0,,1967,Male,False,6,2010,2010-06-01
BEL,211,A2.9-3157,"Eyskens, G.",10,8,1949,1949-08-10,3,1950,1950-03-01,1905,Male,False,6,1949,1949-06-01
BEL,211,A2.9-3160,Duvieusart,8,6,1950,1950-06-08,8,1950,1950-08-01,1900,Male,False,6,1950,1950-06-01
BEL,211,A2.9-3163,Pholien,15,8,1950,1950-08-15,1,1952,1952-01-01,1884,Male,False,0,0,
BEL,211,A2.9-3166,van Houtte,15,1,1952,1952-01-15,4,1954,1954-04-01,1907,Male,False,0,0,
BEL,211,A2.9-3169,van Acker,22,4,1954,1954-04-22,6,1958,1958-06-01,1898,Male,True,4,1954,1954-04-01
BEL,211,A2.9-3172,"Eyskens, G.",25,6,1958,1958-06-25,3,1961,1961-03-01,1905,Male,False,6,1958,1958-06-01
BEL,211,A2.9-3175,Lefevre,25,4,1961,1961-04-25,7,1965,1965-07-01,1914,Male,False,3,1961,1961-03-01
BEL,211,A2.9-3178,Harmel,27,7,1965,1965-07-27,2,1966,1966-02-01,1911,Male,False,5,1965,1965-05-01
BEL,211,A2.9-3181,Vanden Boeynants,19,3,1966,1966-03-19,6,1968,1968-06-01,1919,Male,False,0,0,
BEL,211,A2.9-3184,"Eyskens, G.",17,6,1968,1968-06-17,1,1973,1973-01-01,1905,Male,False,3,1968,1968-03-01
BEL,211,A2.9-3187,Leburton,26,1,1973,1973-01-26,4,1974,1974-04-01,1915,Male,False,0,0,
BEL,211,A2.9-3190,Tindemans,25,4,1974,1974-04-25,10,1978,1978-10-01,1922,Male,False,3,1974,1974-03-01
BEL,211,A2.9-3193,Vanden Boeynants,20,10,1978,1978-10-20,4,1979,1979-04-01,1919,Male,False,0,0,
BEL,211,A2.9-3196,Martens,3,4,1979,1979-04-03,4,1981,1981-04-01,1936,Male,False,12,1978,1978-12-01
BEL,211,A2.9-3199,"Eyskens, M.",6,4,1981,1981-04-06,12,1981,1981-12-01,1933,Male,False,0,0,
BEL,211,A2.9-3202,Martens,17,12,1981,1981-12-17,3,1992,1992-03-01,1936,Male,False,12,1978,1978-12-01
BEL,211,A2.9-3205,Dehaene,7,3,1992,1992-03-07,7,1999,1999-07-01,1940,Male,False,5,1995,1995-05-01
BEL,211,A2.9-3208,Verhofstadt,12,7,1999,1999-07-12,3,2008,2008-03-01,1953,Male,False,6,1999,1999-06-01
BEL,211,A3.0-45,Leterme,20,3,2008,2008-03-20,12,2008,2008-12-01,1960,Male,False,0,0,
BEL,211,A3.0-46,van Rompuy,30,12,2008,2008-12-30,11,2009,2009-11-01,1947,Male,False,0,0,
BEL,211,A3.0-47,Leterme,25,11,2009,2009-11-25,12,2011,2011-12-01,1960,Male,False,0,0,
BEL,211,A3.0-48,Di Rupo,6,12,2011,2011-12-06,10,2014,2014-10-01,1951,Male,False,6,2010,2010-06-01
BEL,211,cb-211-1,Charles Michel,11,10,2014,2014-10-11,10,2019,2019-10-01,1975,Male,False,5,2014,2014-05-01
BEL,211,ctb-211-1,Sophie Wilmes,27,10,2019,2019-10-27,10,2020,2020-10-01,1975,Female,False,5,2019,2019-05-01
BEL,211,ctb-211-2,Alexander De Croo,1,10,2020,2020-10-01,0,0,,1975,Male,False,0,0,
LUX,212,A2.9-3244,Dupong,9,5,1945,1945-05-09,12,1953,1953-12-01,1885,Male,False,5,1937,1937-05-01
LUX,212,A2.9-3247,Bech,28,12,1953,1953-12-28,3,1958,1958-03-01,1887,Male,False,5,1954,1954-05-01
LUX,212,A2.9-3250,Frieden,31,3,1958,1958-03-31,2,1959,1959-02-01,1892,Male,False,2,1959,1959-02-01
LUX,212,A2.9-3253,Werner,7,3,1959,1959-03-07,5,1974,1974-05-01,1913,Male,False,3,1959,1959-03-01
LUX,212,A2.9-3256,Thorn G.,15,6,1974,1974-06-15,7,1979,1979-07-01,1928,Male,False,5,1974,1974-05-01
LUX,212,A2.9-3259,Werner,19,7,1979,1979-07-19,7,1984,1984-07-01,1913,Male,False,6,1979,1979-06-01
LUX,212,A2.9-3262,Santer,20,7,1984,1984-07-20,1,1995,1995-01-01,1937,Male,False,6,1984,1984-06-01
LUX,212,A2.9-3265,Juncker,20,1,1995,1995-01-20,12,2013,2013-12-01,1954,Male,False,6,1999,1999-06-01
LUX,212,cb-212-1,Bettel,4,12,2013,2013-12-04,0,0,,1973,Male,False,10,2013,2013-10-01
FRN,220,A2.9-3553,Bidault,28,10,1949,1949-10-28,6,1950,1950-06-01,1899,Male,False,0,0,
FRN,220,A2.9-3556,Queuille,2,7,1950,1950-07-02,7,1950,1950-07-01,1884,Male,False,0,0,
FRN,220,A2.9-3559,Pleven,12,7,1950,1950-07-12,2,1951,1951-02-01,1901,Male,False,0,0,
FRN,220,A2.9-3562,Queuille,9,3,1951,1951-03-09,7,1951,1951-07-01,1884,Male,False,0,0,
FRN,220,A2.9-3565,Pleven,8,8,1951,1951-08-08,1,1952,1952-01-01,1901,Male,False,6,1951,1951-06-01
FRN,220,A2.9-3568,Faure,18,1,1952,1952-01-18,2,1952,1952-02-01,1908,Male,False,0,0,
FRN,220,A2.9-3571,Pinay,7,3,1952,1952-03-07,12,1952,1952-12-01,1891,Male,True,0,0,
FRN,220,A2.9-3574,Mayer,7,1,1953,1953-01-07,5,1953,1953-05-01,1895,Male,True,0,0,
FRN,220,A2.9-3577,Laniel,26,6,1953,1953-06-26,6,1954,1954-06-01,1889,Male,False,0,0,
FRN,220,A2.9-3580,Mendes-France,18,6,1954,1954-06-18,2,1955,1955-02-01,1907,Male,False,0,0,
FRN,220,A2.9-3583,Faure,23,2,1955,1955-02-23,1,1956,1956-01-01,1908,Male,False,0,0,
FRN,220,A2.9-3586,Mollet,31,1,1956,1956-01-31,6,1957,1957-06-01,1905,Male,False,1,1956,1956-01-01
FRN,220,A2.9-3589,Bourges-Maunory,13,6,1957,1957-06-13,11,1957,1957-11-01,1914,Male,True,0,0,
FRN,220,A2.9-3592,Gaillard,6,11,1957,1957-11-06,5,1958,1958-05-01,1919,Male,False,0,0,
FRN,220,A2.9-3595,Pflimin,14,5,1958,1958-05-14,5,1958,1958-05-01,1907,Male,False,0,0,
FRN,220,A2.9-3598,De Gaulle,1,6,1958,1958-06-01,4,1969,1969-04-01,1890,Male,True,11,1958,1958-11-01
FRN,220,A2.9-3601,Poher,27,4,1969,1969-04-27,6,1969,1969-06-01,1909,Male,False,0,0,
FRN,220,A2.9-3604,Pompidou,20,6,1969,1969-06-20,4,1974,1974-04-01,1911,Male,False,6,1969,1969-06-01
FRN,220,A2.9-3607,Poher,2,4,1974,1974-04-02,5,1974,1974-05-01,1909,Male,False,0,0,
FRN,220,A2.9-3610,Giscard D'Estaing,27,5,1974,1974-05-27,5,1981,1981-05-01,1926,Male,False,5,1974,1974-05-01
FRN,220,A2.9-3613,Mitterand,21,5,1981,1981-05-21,5,1995,1995-05-01,1916,Male,False,4,1981,1981-04-01
FRN,220,A2.9-3616,Chirac,17,5,1995,1995-05-17,5,2007,2007-05-01,1932,Male,False,4,1995,1995-04-01
FRN,220,A3.0-49,Sarkozy,16,5,2007,2007-05-16,5,2012,2012-05-01,1955,Male,False,4,2007,2007-04-01
FRN,220,cb-220-1,Hollande,15,5,2012,2012-05-15,5,2017,2017-05-01,1954,Male,False,4,2012,2012-04-01
FRN,220,se-220-2,Macron,14,5,2017,2017-05-14,0,0,,1977,Male,False,5,2017,2017-05-01
MNC,221,cb-221-1,Rainier,9,5,1949,1949-05-09,4,2005,2005-04-01,1923,Male,False,0,0,
MNC,221,cb-221-2,Albert,6,4,2005,2005-04-06,0,0,,1958,Male,False,0,0,
LIE,223,cb-223-1,Franz Josef,30,3,1938,1938-03-30,11,1989,1989-11-01,1906,Male,False,0,0,
LIE,223,cb-223-2,Hans-Adam II,13,11,1989,1989-11-13,0,0,,1945,Male,False,0,0,
SWZ,225,A2.9-3844,Petipierre,1,1,1950,1950-01-01,12,1950,1950-12-01,1899,Male,False,0,0,
SWZ,225,A2.9-3847,von Steiger,1,1,1951,1951-01-01,12,1951,1951-12-01,1881,Male,False,0,0,
SWZ,225,A2.9-3850,Kobelt,1,1,1952,1952-01-01,12,1952,1952-12-01,1891,Male,False,0,0,
SWZ,225,A2.9-3853,Etter,1,1,1953,1953-01-01,12,1953,1953-12-01,1891,Male,False,0,0,
SWZ,225,A2.9-3856,Rubattel,1,1,1954,1954-01-01,12,1954,1954-12-01,1896,Male,False,0,0,
SWZ,225,A2.9-3859,Petipierre,1,1,1955,1955-01-01,12,1955,1955-12-01,1899,Male,False,0,0,
SWZ,225,A2.9-3862,Feldmann,1,1,1956,1956-01-01,12,1956,1956-12-01,1897,Male,False,0,0,
SWZ,225,A2.9-3865,Streuli,1,1,1957,1957-01-01,12,1957,1957-12-01,1892,Male,False,0,0,
SWZ,225,A2.9-3868,Holenstein,1,1,1958,1958-01-01,12,1958,1958-12-01,1896,Male,False,0,0,
SWZ,225,A2.9-3871,Chaudet,1,1,1959,1959-01-01,12,1959,1959-12-01,1901,Male,False,0,0,
SWZ,225,A2.9-3874,Petipierre,1,1,1960,1960-01-01,12,1960,1960-12-01,1899,Male,False,0,0,
SWZ,225,A2.9-3877,Friedrich,1,1,1961,1961-01-01,12,1961,1961-12-01,1899,Male,False,0,0,
SWZ,225,A2.9-3880,Chaudet,1,1,1962,1962-01-01,12,1962,1962-12-01,1901,Male,False,0,0,
SWZ,225,A2.9-3883,Spuhler,1,1,1963,1963-01-01,12,1963,1963-12-01,1902,Male,False,0,0,
SWZ,225,A2.9-3886,von Moos,1,1,1964,1964-01-01,12,1964,1964-12-01,1910,Male,False,0,0,
SWZ,225,A2.9-3889,Tschudi,1,1,1965,1965-01-01,12,1965,1965-12-01,1923,Male,False,0,0,
SWZ,225,A2.9-3892,Schaffner,1,1,1966,1966-01-01,12,1966,1966-12-01,1908,Male,False,0,0,
SWZ,225,A2.9-3895,Bonvin,1,1,1967,1967-01-01,12,1967,1967-12-01,1907,Male,False,0,0,
SWZ,225,A2.9-3898,Spuhler,1,1,1968,1968-01-01,12,1968,1968-12-01,1902,Male,False,0,0,
SWZ,225,A2.9-3901,von Moos,1,1,1969,1969-01-01,12,1969,1969-12-01,1910,Male,False,0,0,
SWZ,225,A2.9-3904,Tschudi,1,1,1970,1970-01-01,12,1970,1970-12-01,1923,Male,False,0,0,
SWZ,225,A2.9-3907,Gnagi,1,1,1971,1971-01-01,12,1971,1971-12-01,1917,Male,False,0,0,
SWZ,225,A2.9-3910,Celio,1,1,1972,1972-01-01,12,1972,1972-12-01,1914,Male,False,0,0,
SWZ,225,A2.9-3913,Bonvin,1,1,1973,1973-01-01,12,1973,1973-12-01,1907,Male,False,0,0,
SWZ,225,A2.9-3916,Brugger,1,1,1974,1974-01-01,12,1974,1974-12-01,1914,Male,False,0,0,
SWZ,225,A2.9-3919,Graber,1,1,1975,1975-01-01,12,1975,1975-12-01,1908,Male,False,0,0,
SWZ,225,A2.9-3922,Gnagi,1,1,1976,1976-01-01,12,1976,1976-12-01,1917,Male,False,0,0,
SWZ,225,A2.9-3925,Furgler,1,1,1977,1977-01-01,12,1977,1977-12-01,1924,Male,False,0,0,
SWZ,225,A2.9-3928,Ritschard,1,1,1978,1978-01-01,12,1978,1978-12-01,1918,Male,False,0,0,
SWZ,225,A2.9-3931,Hurlimann,1,1,1979,1979-01-01,12,1979,1979-12-01,1918,Male,False,0,0,
SWZ,225,A2.9-3934,Chevallaz,1,1,1980,1980-01-01,12,1980,1980-12-01,1915,Male,False,0,0,
SWZ,225,A2.9-3937,Furgler,1,1,1981,1981-01-01,12,1981,1981-12-01,1924,Male,False,0,0,
SWZ,225,A2.9-3940,Honegger,1,1,1982,1982-01-01,12,1982,1982-12-01,1917,Male,False,0,0,
SWZ,225,A2.9-3943,Aubert,1,1,1983,1983-01-01,12,1983,1983-12-01,1927,Male,False,0,0,
SWZ,225,A2.9-3946,Schlumpf,1,1,1984,1984-01-01,12,1984,1984-12-01,1925,Male,False,0,0,
SWZ,225,A2.9-3949,Furgler,1,1,1985,1985-01-01,12,1985,1985-12-01,1924,Male,False,0,0,
SWZ,225,A2.9-3952,Egli,1,1,1986,1986-01-01,12,1986,1986-12-01,1924,Male,False,0,0,
SWZ,225,A2.9-3955,Aubert,1,1,1987,1987-01-01,12,1987,1987-12-01,1927,Male,False,0,0,
SWZ,225,A2.9-3958,Stich,1,1,1988,1988-01-01,12,1988,1988-12-01,1927,Male,False,0,0,
SWZ,225,A2.9-3961,Delamuraz,1,1,1989,1989-01-01,12,1989,1989-12-01,1936,Male,False,0,0,
SWZ,225,A2.9-3964,Koller,1,1,1990,1990-01-01,12,1990,1990-12-01,1933,Male,False,0,0,
SWZ,225,A2.9-3967,Cotti,1,1,1991,1991-01-01,12,1991,1991-12-01,1939,Male,False,0,0,
SWZ,225,A2.9-3970,Felber,1,1,1992,1992-01-01,12,1992,1992-12-01,1933,Male,False,0,0,
SWZ,225,A2.9-3973,Ogi,1,1,1993,1993-01-01,12,1993,1993-12-01,1942,Male,False,0,0,
SWZ,225,A2.9-3976,Stich,1,1,1994,1994-01-01,12,1994,1994-12-01,1927,Male,False,0,0,
SWZ,225,A2.9-3979,Villiger,1,1,1995,1995-01-01,12,1995,1995-12-01,1941,Male,False,0,0,
SWZ,225,A2.9-3982,Delamuraz,1,1,1996,1996-01-01,12,1996,1996-12-01,1936,Male,False,0,0,
SWZ,225,A2.9-3985,Koller,1,1,1997,1997-01-01,12,1997,1997-12-01,1933,Male,False,0,0,
SWZ,225,A2.9-3988,Cotti,1,1,1998,1998-01-01,12,1998,1998-12-01,1939,Male,False,0,0,
SWZ,225,A2.9-3991,Dreifuss,1,1,1999,1999-01-01,12,1999,1999-12-01,1940,Female,False,0,0,
SWZ,225,A2.9-3994,Ogi,1,1,2000,2000-01-01,12,2000,2000-12-01,1942,Male,False,0,0,
SWZ,225,A2.9-3997,Leuenberger,1,1,2001,2001-01-01,12,2001,2001-12-01,1946,Male,False,0,0,
SWZ,225,A2.9-4000,Villiger,1,1,2002,2002-01-01,12,2002,2002-12-01,1941,Male,False,0,0,
SWZ,225,A2.9-4003,Pascal Couchepin,1,1,2003,2003-01-01,12,2003,2003-12-01,1942,Male,False,0,0,
SWZ,225,A2.9-4006,Joseph Deiss,1,1,2004,2004-01-01,12,2004,2004-12-01,1946,Male,False,0,0,
SWZ,225,A3.0-50,Schmid,1,1,2005,2005-01-01,12,2005,2005-12-01,1947,Male,False,0,0,
SWZ,225,A3.0-51,Leuenberger,1,1,2006,2006-01-01,12,2006,2006-12-01,1946,Male,False,0,0,
SWZ,225,A3.0-52,Calmy-Rey,1,1,2007,2007-01-01,12,2007,2007-12-01,1945,Female,False,0,0,
SWZ,225,A3.0-53,Pascal Couchepin,1,1,2008,2008-01-01,12,2008,2008-12-01,1942,Male,False,0,0,
SWZ,225,A3.0-54,Hans-Rudolf Merz,1,1,2009,2009-01-01,12,2009,2009-12-01,1942,Male,False,0,0,
SWZ,225,A3.0-55,Doris Leuthard,1,1,2010,2010-01-01,12,2010,2010-12-01,1963,Female,False,0,0,
SWZ,225,A3.0-56,Calmy-Rey,1,1,2011,2011-01-01,12,2011,2011-12-01,1945,Female,False,0,0,
SWZ,225,cb-225-1,Widmer-Schlumpf,1,1,2012,2012-01-01,12,2012,2012-12-01,1956,Female,False,0,0,
SWZ,225,cb-225-2,Maurer,1,1,2013,2013-01-01,12,2013,2013-12-01,1950,Male,False,0,0,
SWZ,225,cb-225-3,Burkhalter,1,1,2014,2014-01-01,12,2014,2014-12-01,1960,Male,False,0,0,
SWZ,225,cb-225-4,Sommaruga,1,1,2015,2015-01-01,12,2015,2015-12-01,1960,Female,False,0,0,
SWZ,225,cb-225-5,Schneider-Ammann,1,1,2016,2016-01-01,12,2016,2016-12-01,1952,Male,False,0,0,
SWZ,225,se-225-1,Doris Leuthard,1,1,2017,2017-01-01,12,2017,2017-12-01,1963,Female,False,0,0,
SWZ,225,cb-225-6,Alain Berset,1,1,2018,2018-01-01,12,2018,2018-12-01,1972,Male,False,0,0,
SWZ,225,ctb-225-1,Maurer,1,1,2019,2019-01-01,1,2020,2020-01-01,1950,Male,False,0,0,
SWZ,225,ctb-225-2,Sommaruga,1,1,2020,2020-01-01,1,2021,2021-01-01,1960,Female,False,0,0,
SWZ,225,ctb-225-3,Parmelin,1,1,2021,2021-01-01,0,0,,1959,Male,False,0,0,
SPN,230,A2.9-4213,Franco,1,4,1939,1939-04-01,10,1975,1975-10-01,1892,Male,True,7,1947,1947-07-01
SPN,230,A2.9-4216,Juan Carlos,1,11,1975,1975-11-01,11,1975,1975-11-01,1928,Male,False,0,0,
SPN,230,A2.9-4219,Arias Navarro,9,11,1975,1975-11-09,7,1976,1976-07-01,1908,Male,False,0,0,
SPN,230,A2.9-4222,Suarez Gonzalez,1,7,1976,1976-07-01,2,1981,1981-02-01,1932,Male,False,6,1977,1977-06-01
SPN,230,A2.9-4225,Calvo-Sotelo,25,2,1981,1981-02-25,12,1982,1982-12-01,1926,Male,False,0,0,
SPN,230,A2.9-4228,Gonzalez Marquez,2,12,1982,1982-12-02,5,1996,1996-05-01,1942,Male,False,10,1982,1982-10-01
SPN,230,A2.9-4231,Aznar,5,5,1996,1996-05-05,4,2004,2004-04-01,1953,Male,False,3,1996,1996-03-01
SPN,230,A2.9-4234,Rodriguez Zapatero,17,4,2004,2004-04-17,12,2011,2011-12-01,1960,Male,False,3,2004,2004-03-01
SPN,230,A3.0-57,Rajoy Brey,20,12,2011,2011-12-20,6,2018,2018-06-01,1955,Male,False,11,2011,2011-11-01
SPN,230,ctb-230-1,Sanchez,2,6,2018,2018-06-02,0,0,,1972,Male,False,9,2009,2009-09-01
AND,232,And-1,Reig,8,1,1982,1982-01-08,5,1984,1984-05-01,1936,Male,False,12,1981,1981-12-01
AND,232,And-2,Pintat-Solans,21,5,1984,1984-05-21,1,1990,1990-01-01,1925,Male,False,5,1984,1984-05-01
AND,232,And-3,Reig,12,1,1990,1990-01-12,12,1994,1994-12-01,1936,Male,False,12,1989,1989-12-01
AND,232,And-4,Molne,7,12,1994,1994-12-07,5,2005,2005-05-01,1946,Male,False,2,1997,1997-02-01
AND,232,And-5,Pintat-Santolaria,27,5,2005,2005-05-27,6,2009,2009-06-01,1943,Male,False,0,0,
AND,232,And-6,Bartumeu,5,6,2009,2009-06-05,4,2011,2011-04-01,1954,Male,False,4,2009,2009-04-01
AND,232,And-7,Agras,28,4,2011,2011-04-28,5,2011,2011-05-01,1971,Male,False,0,0,
AND,232,And-8,Marti,12,5,2011,2011-05-12,5,2019,2019-05-01,1963,Male,False,4,2011,2011-04-01
AND,232,And-9,Espot Zamora,16,5,2019,2019-05-16,0,0,,1979,Male,False,4,2019,2019-04-01
POR,235,A2.9-4276,Salazar,5,7,1932,1932-07-05,9,1968,1968-09-01,1889,Male,False,0,0,
POR,235,A2.9-4279,Caetano,27,9,1968,1968-09-27,4,1974,1974-04-01,1906,Male,False,6,1972,1972-06-01
POR,235,A2.9-4282,Spinola,25,4,1974,1974-04-25,9,1974,1974-09-01,1910,Male,True,0,0,
POR,235,A2.9-4285,Costa Gomes,30,9,1974,1974-09-30,7,1976,1976-07-01,1914,Male,True,0,0,
POR,235,A2.9-4288,Eanes,23,7,1976,1976-07-23,3,1986,1986-03-01,1914,Male,True,6,1976,1976-06-01
POR,235,A2.9-4291,Soares,9,3,1986,1986-03-09,3,1996,1996-03-01,1924,Male,False,1,1986,1986-01-01
POR,235,A2.9-4294,Sampaio,9,3,1996,1996-03-09,3,2006,2006-03-01,1939,Male,False,1,1996,1996-01-01
POR,235,A3.0-58,Cavaco Silva,9,3,2006,2006-03-09,3,2016,2016-03-01,1939,Male,False,1,2006,2006-01-01
POR,235,kb-235-1,de Sousa,9,3,2016,2016-03-09,0,0,,1949,Male,False,1,2016,2016-01-01
GMY,255,A2.9-4375,Kohl,1,10,1990,1990-10-01,10,1998,1998-10-01,1930,Male,False,1,1987,1987-01-01
GMY,255,A2.9-4378,Schroder,27,10,1998,1998-10-27,11,2005,2005-11-01,1944,Male,False,9,1998,1998-09-01
GMY,255,A3.0-59,Merkel,22,11,2005,2005-11-22,0,0,,1954,Female,False,9,2005,2005-09-01
GFR,260,A2.9-4360,Adenauer,16,9,1949,1949-09-16,10,1963,1963-10-01,1876,Male,False,8,1949,1949-08-01
GFR,260,A2.9-4363,Erhard,16,10,1963,1963-10-16,12,1966,1966-12-01,1897,Male,False,9,1965,1965-09-01
GFR,260,A2.9-4366,Kiesinger,1,12,1966,1966-12-01,10,1969,1969-10-01,1904,Male,False,12,1966,1966-12-01
GFR,260,A2.9-4369,Brandt,22,10,1969,1969-10-22,5,1974,1974-05-01,1913,Male,False,11,1972,1972-11-01
GFR,260,A2.9-4372,Schmidt,16,5,1974,1974-05-16,10,1982,1982-10-01,1918,Male,True,5,1974,1974-05-01
GMY,260,A2.9-4375a,Kohl,1,10,1982,1982-10-01,9,1990,1990-09-01,1930,Male,False,3,1983,1983-03-01
GDR,265,A2.9-4381,Wilhelm Pieck,22,4,1946,1946-04-22,7,1950,1950-07-01,1876,Male,False,10,1949,1949-10-01
GDR,265,A2.9-4384,Ulbricht,25,7,1950,1950-07-25,5,1971,1971-05-01,1893,Male,False,10,1950,1950-10-01
GDR,265,A2.9-4387,Honecker,3,5,1971,1971-05-03,10,1989,1989-10-01,1912,Male,False,11,1971,1971-11-01
GDR,265,A2.9-4390,Krenz,18,10,1989,1989-10-18,12,1989,1989-12-01,1937,Male,False,0,0,
GDR,265,A2.9-4393,Gysi,9,12,1989,1989-12-09,10,1990,1990-10-01,1948,Male,False,0,0,
POL,290,A2.9-4414,Bierut,31,12,1944,1944-12-31,3,1956,1956-03-01,1892,Male,False,1,1947,1947-01-01
POL,290,A2.9-4417,Ochab,20,3,1956,1956-03-20,10,1956,1956-10-01,1906,Male,False,0,0,
